ShellLength;Temperature;G
150;23,6;0,011106221
160;23,6;0,008884977
170;23,6;0,006663733
180;23,6;0,004442489
190;23,6;0,002221244
200;23,6;0
0;23,7;0,045048226
10;23,7;0,042795814
20;23,7;0,040543403
30;23,7;0,038290992
40;23,7;0,036038581
50;23,7;0,033786169
60;23,7;0,031533758
70;23,7;0,029281347
80;23,7;0,027028935
90;23,7;0,024776524
100;23,7;0,022524113
110;23,7;0,020271702
120;23,7;0,01801929
130;23,7;0,015766879
140;23,7;0,013514468
150;23,7;0,011262056
160;23,7;0,009009645
170;23,7;0,006757234
180;23,7;0,004504823
190;23,7;0,002252411
200;23,7;0
0;23,8;0,045674918
10;23,8;0,043391172
20;23,8;0,041107426
30;23,8;0,03882368
40;23,8;0,036539935
50;23,8;0,034256189
60;23,8;0,031972443
70;23,8;0,029688697
80;23,8;0,027404951
90;23,8;0,025121205
100;23,8;0,022837459
110;23,8;0,020553713
120;23,8;0,018269967
130;23,8;0,015986221
140;23,8;0,013702475
150;23,8;0,01141873
160;23,8;0,009134984
170;23,8;0,006851238
180;23,8;0,004567492
190;23,8;0,002283746
200;23,8;0
0;23,9;0,046304746
10;23,9;0,043989508
20;23,9;0,041674271
30;23,9;0,039359034
40;23,9;0,037043796
50;23,9;0,034728559
60;23,9;0,032413322
70;23,9;0,030098085
80;23,9;0,027782847
90;23,9;0,02546761
100;23,9;0,023152373
110;23,9;0,020837135
120;23,9;0,018521898
130;23,9;0,016206661
140;23,9;0,013891424
150;23,9;0,011576186
160;23,9;0,009260949
170;23,9;0,006945712
180;23,9;0,004630475
190;23,9;0,002315237
200;23,9;0
0;24;0,046937477
10;24;0,044590603
20;24;0,042243729
30;24;0,039896855
40;24;0,037549982
50;24;0,035203108
60;24;0,032856234
70;24;0,03050936
80;24;0,028162486
90;24;0,025815612
100;24;0,023468738
110;24;0,021121865
120;24;0,018774991
130;24;0,016428117
140;24;0,014081243
150;24;0,011734369
160;24;0,009387495
170;24;0,007040622
180;24;0,004693748
