ShellLength;Temperature;G
60;23,9;0,038115655
70;23,9;0,035393108
80;23,9;0,032670561
90;23,9;0,029948015
100;23,9;0,027225468
110;23,9;0,024502921
120;23,9;0,021780374
130;23,9;0,019057827
140;23,9;0,016335281
150;23,9;0,013612734
160;23,9;0,010890187
170;23,9;0,00816764
180;23,9;0,005445094
190;23,9;0,002722547
200;23,9;0
0;24;0,055194981
10;24;0,052435232
20;24;0,049675483
30;24;0,046915734
40;24;0,044155984
50;24;0,041396235
60;24;0,038636486
70;24;0,035876737
80;24;0,033116988
90;24;0,030357239
100;24;0,02759749
110;24;0,024837741
120;24;0,022077992
130;24;0,019318243
140;24;0,016558494
150;24;0,013798745
160;24;0,011038996
170;24;0,008279247
180;24;0,005519498
190;24;0,002759749
200;24;0
0;24,1;0,055942154
10;24,1;0,053145046
20;24,1;0,050347938
30;24,1;0,047550831
40;24,1;0,044753723
50;24,1;0,041956615
60;24,1;0,039159508
70;24,1;0,0363624
80;24,1;0,033565292
90;24,1;0,030768185
100;24,1;0,027971077
110;24,1;0,025173969
120;24,1;0,022376862
130;24,1;0,019579754
140;24,1;0,016782646
150;24,1;0,013985538
160;24,1;0,011188431
170;24,1;0,008391323
180;24,1;0,005594215
190;24,1;0,002797108
200;24,1;0
0;24,2;0,056692152
10;24,2;0,053857545
20;24,2;0,051022937
30;24,2;0,048188329
40;24,2;0,045353722
50;24,2;0,042519114
60;24,2;0,039684507
70;24,2;0,036849899
80;24,2;0,034015291
90;24,2;0,031180684
100;24,2;0,028346076
110;24,2;0,025511468
120;24,2;0,022676861
130;24,2;0,019842253
140;24,2;0,017007646
150;24,2;0,014173038
160;24,2;0,01133843
170;24,2;0,008503823
180;24,2;0,005669215
190;24,2;0,002834608
200;24,2;0
0;24,3;0,057444656
10;24,3;0,054572423
20;24,3;0,05170019
30;24,3;0,048827957
40;24,3;0,045955724
50;24,3;0,043083492
60;24,3;0,040211259
70;24,3;0,037339026
80;24,3;0,034466793
90;24,3;0,031594561
100;24,3;0,028722328
110;24,3;0,025850095
120;24,3;0,022977862
130;24,3;0,020105629
140;24,3;0,017233397
150;24,3;0,014361164
160;24,3;0,011488931
170;24,3;0,008616698
180;24,3;0,005744466
190;24,3;0,002872233
200;24,3;0
0;24,4;0,058199327
10;24,4;0,05528936
20;24,4;0,052379394
30;24,4;0,049469428
40;24,4;0,046559461
50;24,4;0,043649495
60;24,4;0,040739529
70;24,4;0,037829562
80;24,4;0,034919596
90;24,4;0,03200963
100;24,4;0,029099663
110;24,4;0,026189697
120;24,4;0,023279731
130;24,4;0,020369764
140;24,4;0,017459798
150;24,4;0,014549832
160;24,4;0,011639865
170;24,4;0,008729899
180;24,4;0,005819933
190;24,4;0,002909966
200;24,4;0
0;24,5;0,05895581
10;24,5;0,056008019
20;24,5;0,053060229
30;24,5;0,050112438
40;24,5;0,047164648
50;24,5;0,044216857
60;24,5;0,041269067
70;24,5;0,038321276
80;24,5;0,035373486
90;24,5;0,032425695
100;24,5;0,029477905
110;24,5;0,026530114
120;24,5;0,023582324
130;24,5;0,020634533
140;24,5;0,017686743
150;24,5;0,014738952
160;24,5;0,011791162
170;24,5;0,008843371
180;24,5;0,005895581
190;24,5;0,00294779
200;24,5;0
0;24,6;0,05971373
10;24,6;0,056728044
20;24,6;0,053742357
30;24,6;0,050756671
40;24,6;0,047770984
50;24,6;0,044785298
60;24,6;0,041799611
70;24,6;0,038813925
80;24,6;0,035828238
90;24,6;0,032842552
100;24,6;0,029856865
110;24,6;0,026871179
120;24,6;0,023885492
130;24,6;0,020899806
140;24,6;0,017914119
150;24,6;0,014928433
160;24,6;0,011942746
170;24,6;0,00895706
180;24,6;0,005971373
190;24,6;0,002985687
200;24,6;0
0;24,7;0,060472695
10;24,7;0,05744906
20;24,7;0,054425425
30;24,7;0,051401791
40;24,7;0,048378156
50;24,7;0,045354521
60;24,7;0,042330886
70;24,7;0,039307252
80;24,7;0,036283617
90;24,7;0,033259982
100;24,7;0,030236347
110;24,7;0,027212713
120;24,7;0,024189078
130;24,7;0,021165443
140;24,7;0,018141808
