,TEMP_predite_mean,TEMP_predite_CONF_lower,TEMP_predite_CONF_upper
2000-07-27,25.3733862128054,23.634784185592203,27.111988240018597
2000-07-28,25.72242032094002,23.983818293726824,27.461022348153218
2000-07-29,25.99678744747443,24.25818542026123,27.735389474687626
2000-07-30,25.892096790667665,24.153494763454468,27.630698817880862
2000-07-31,25.809545208479715,24.070943181266518,27.548147235692912
2000-08-01,25.657105920510727,23.91850389329753,27.395707947723924
2000-08-02,25.889991610422893,24.151389583209696,27.62859363763609
2000-08-03,25.544196521814452,23.805594494601255,27.28279854902765
2000-08-04,25.601660128412167,23.86305810119897,27.340262155625364
2000-08-05,25.590918663552742,23.852316636339545,27.32952069076594
2000-08-06,25.281953680134468,23.54335165292127,27.020555707347665
2000-08-07,25.383179092240482,23.644577065027285,27.12178111945368
2000-08-08,25.545754097387398,23.8071520701742,27.284356124600595
2000-08-09,25.238471872691406,23.49986984547821,26.977073899904603
2000-08-10,25.059646007729977,23.32104398051678,26.798248034943175
2000-08-11,25.24383932290974,23.505237295696542,26.982441350122937
2000-08-12,25.13470593488428,23.396103907671083,26.873307962097478
2000-08-13,25.408446220493392,23.669844193280195,27.14704824770659
2000-08-14,25.498239306180665,23.759637278967467,27.236841333393862
2000-08-15,25.592907867855246,23.85430584064205,27.331509895068443
2000-08-16,25.548926345582625,23.810324318369428,27.287528372795823
2000-08-17,25.376259345149332,23.637657317936135,27.11486137236253
2000-08-18,25.07903479752379,23.340432770310592,26.817636824736987
2000-08-19,25.026738783948563,23.288136756735366,26.76534081116176
2000-08-20,25.137568649097343,23.398966621884146,26.87617067631054
2000-08-21,25.356124725391012,23.617522698177815,27.09472675260421
2000-08-22,25.46930961215017,23.730707584936972,27.207911639363367
2000-08-23,25.728915930785917,23.99031390357272,27.467517957999114
2000-08-24,25.74763265926295,24.009030632049754,27.48623468647615
2000-08-25,25.856906503827997,24.1183044766148,27.595508531041194
2000-08-26,25.78383640793136,24.045234380718163,27.522438435144558
2000-08-27,25.41636893576974,23.677766908556542,27.154970962982937
2000-08-28,25.31986081384026,23.581258786627064,27.05846284105346
2000-08-29,25.272477307559228,23.53387528034603,27.011079334772425
2000-08-30,25.22701685592011,23.48841482870691,26.965618883133306
2000-08-31,25.3149016100144,23.5762995828012,27.053503637227596
2000-09-01,25.335785899492294,23.597183872279096,27.07438792670549
2000-09-02,25.374172270719537,23.63557024350634,27.112774297932734
2000-09-03,25.609035463235724,23.870433436022527,27.34763749044892
2000-09-04,25.806075073453247,24.06747304624005,27.544677100666444
2000-09-05,25.837754466721602,24.099152439508405,27.5763564939348
2000-09-06,25.75683287618477,24.018230848971573,27.495434903397967
2000-09-07,25.745710087630627,24.00710806041743,27.484312114843824
2000-09-08,24.887281674747726,23.14867964753453,26.625883701960923
2000-09-09,24.642885226449852,22.904283199236655,26.38148725366305
2000-09-10,25.198963332984036,23.46036130577084,26.937565360197233
2000-09-11,24.80776534104903,23.069163313835833,26.546367368262228
2000-09-12,24.914134183093953,23.175532155880756,26.65273621030715
2000-09-13,24.655542575119117,22.91694054790592,26.394144602332315
2000-09-14,25.412985746827065,23.674383719613868,27.151587774040262
2000-09-15,25.409347468987647,23.67074544177445,27.147949496200845
2000-09-16,25.41007560174233,23.671473574529134,27.14867762895553
2000-09-17,25.27895562692605,23.54035359971285,27.017557654139246
2000-09-18,25.44121089562347,23.702608868410273,27.179812922836668
2000-09-19,25.687737442787746,23.94913541557455,27.426339470000944
2000-09-20,25.547014721160185,23.808412693946988,27.285616748373382
2000-09-21,25.167700073040233,23.429098045827036,26.90630210025343
2000-09-22,25.063132598400056,23.32453057118686,26.801734625613253
2000-09-23,25.35283698300201,23.614234955788813,27.091439010215208
2000-09-24,25.068172178396818,23.32957015118362,26.806774205610015
2000-09-25,25.209606148154055,23.471004120940858,26.948208175367252
2000-09-26,25.5658493031155,23.8272472759023,27.304451330328696
2000-09-27,25.94714688700311,24.208544859789914,27.68574891421631
2000-09-28,25.914143892747756,24.17554186553456,27.652745919960953
2000-09-29,25.988875469511445,24.250273442298248,27.727477496724642
2000-09-30,25.643004170818315,23.904402143605118,27.381606198031513
2000-10-01,25.394515145096307,23.65591311788311,27.133117172309504
2000-10-02,25.25799704300628,23.519395015793084,26.996599070219478
2000-10-03,25.162578760815947,23.42397673360275,26.901180788029144
2000-10-04,24.811776916624652,23.073174889411455,26.55037894383785
2000-10-05,25.125283332463564,23.386681305250367,26.86388535967676
2000-10-06,25.666208951440197,23.927606924227,27.404810978653394
2000-10-07,26.000906415380314,24.262304388167117,27.73950844259351
2000-10-08,26.102657466898624,24.364055439685426,27.84125949411182
2000-10-09,25.775526607090118,24.03692457987692,27.514128634303315
2000-10-10,25.771527846636374,24.032925819423177,27.51012987384957
2000-10-11,25.569969365900487,23.83136733868729,27.308571393113684
2000-10-12,25.530953959964705,23.792351932751508,27.269555987177903
2000-10-13,25.604735805921063,23.866133778707866,27.34333783313426
2000-10-14,25.308706583499,23.570104556285802,27.047308610712196
2000-10-15,25.315865597863667,23.57726357065047,27.054467625076864
2000-10-16,25.676402477126032,23.937800449912835,27.41500450433923
2000-10-17,25.813039843730916,24.07443781651772,27.551641870944113
2000-10-18,25.83241691276425,24.09381488555105,27.571018939977446
2000-10-19,25.75357195898155,24.014969931768352,27.492173986194747
2000-10-20,25.796957083843214,24.058355056630017,27.53555911105641
2000-10-21,25.91515922722444,24.176557200011242,27.653761254437637
2000-10-22,25.76155529822545,24.022953271012252,27.500157325438646
2000-10-23,25.81172883366631,24.073126806453114,27.55033086087951
2000-10-24,25.896533335502184,24.157931308288987,27.63513536271538
2000-10-25,25.84372738489139,24.105125357678194,27.58232941210459
2000-10-26,25.79062505105834,24.05202302384514,27.529227078271536
2000-10-27,25.830947986868015,24.092345959654818,27.569550014081212
2000-10-28,25.906123634321148,24.16752160710795,27.644725661534345
2000-10-29,25.9643423785534,24.225740351340203,27.702944405766598
2000-10-30,26.20204012215215,24.463438094938954,27.94064214936535
2000-10-31,26.351776274905358,24.61317424769216,28.090378302118555
2000-11-01,26.68095381992842,24.942351792715222,28.419555847141616
2000-11-02,27.018551889286197,25.279949862073,28.757153916499394
2000-11-03,27.345021080802535,25.606419053589338,29.083623108015733
2000-11-04,27.631801037176654,25.893199009963457,29.37040306438985
2000-11-05,28.110477243958215,26.371875216745018,29.849079271171412
2000-11-06,27.995126085262935,26.256524058049738,29.733728112476133
2000-11-07,27.790724613543613,26.052122586330416,29.52932664075681
2000-11-08,27.0623925108615,25.323790483648303,28.800994538074697
2000-11-09,27.044324657830643,25.305722630617446,28.78292668504384
2000-11-10,27.61425695875907,25.875654931545874,29.35285898597227
2000-11-11,27.710318313319238,25.97171628610604,29.448920340532435
2000-11-12,27.682695474639164,25.944093447425967,29.42129750185236
2000-11-13,27.87350180673435,26.134899779521152,29.612103833947547
2000-11-14,27.824798043465805,26.086196016252607,29.563400070679002
2000-11-15,27.900183174875014,26.161581147661817,29.63878520208821
2000-11-16,28.212258290319554,26.473656263106356,29.95086031753275
2000-11-17,28.34263372785303,26.604031700639833,30.081235755066228
2000-11-18,28.243170127413375,26.504568100200178,29.981772154626572
2000-11-19,27.96617361069691,26.227571583483712,29.704775637910107
2000-11-20,27.814393273928548,26.07579124671535,29.552995301141745
2000-11-21,27.6597170145827,25.921114987369503,29.398319041795897
2000-11-22,27.825774300749092,26.087172273535895,29.56437632796229
2000-11-23,27.57848920103542,25.839887173822223,29.317091228248618
2000-11-24,27.212143432721657,25.47354140550846,28.950745459934854
2000-11-25,27.50343825782714,25.76483623061394,29.242040285040336
2000-11-26,27.681991139985538,25.94338911277234,29.420593167198735
2000-11-27,27.771764546890086,26.03316251967689,29.510366574103283
2000-11-28,27.35473593878731,25.616133911574114,29.093337966000508
2000-11-29,27.315347811762624,25.576745784549427,29.05394983897582
2000-11-30,27.477028709928884,25.738426682715687,29.21563073714208
2000-12-01,27.621251542932892,25.882649515719695,29.35985357014609
2000-12-02,28.046604476901233,26.308002449688036,29.78520650411443
2000-12-03,28.397651470467338,26.65904944325414,30.136253497680535
2000-12-04,28.72017654783211,26.981574520618913,30.458778575045308
2000-12-05,28.59371740859046,26.855115381377264,30.332319435803658
2000-12-06,28.767832643514442,27.029230616301245,30.50643467072764
2000-12-07,28.98648571569814,27.247883688484944,30.725087742911338
2000-12-08,29.164462307779843,27.425860280566646,30.90306433499304
2000-12-09,29.035091355602898,27.2964893283897,30.773693382816095
2000-12-10,28.847035943773488,27.10843391656029,30.585637970986685
2000-12-11,29.009438466708705,27.270836439495508,30.748040493921902
2000-12-12,29.454047011366743,27.715444984153546,31.19264903857994
2000-12-13,29.656159333691374,27.917557306478177,31.39476136090457
2000-12-14,29.816723922599255,28.078121895386058,31.555325949812453
2000-12-15,29.24623337426446,27.507631347051262,30.984835401477657
2000-12-16,28.641592072295285,26.90299004508209,30.380194099508483
2000-12-17,28.069630872179715,26.331028844966518,29.808232899392912
2000-12-18,27.331931158205204,25.593329130992007,29.0705331854184
2000-12-19,28.323833452345905,26.585231425132708,30.062435479559102
2000-12-20,28.324808830099034,26.586206802885837,30.06341085731223
2000-12-21,28.24524512576647,26.506643098553273,29.983847152979667
2000-12-22,28.473426697386483,26.734824670173285,30.21202872459968
2000-12-23,28.469279272049167,26.73067724483597,30.207881299262365
2000-12-24,28.672267747737312,26.933665720524115,30.41086977495051
2000-12-25,28.777510485336805,27.038908458123608,30.516112512550002
2000-12-26,29.062491612960944,27.323889585747747,30.80109364017414
2000-12-27,28.6293027336059,26.890700706392703,30.367904760819098
2000-12-28,28.606271900417457,26.86766987320426,30.344873927630655
